"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Iceland","blank1","blank2","ext",100,100,0,100,0,0,0,323764
"Iceland","blank1","blank2","female",100,100,,100,,,,323764
"Iceland","blank1","blank2","fifteento49",100,100,,100,,,,323764
"Iceland","blank1","blank2","fiveto14",100,100,,100,,,,323764
"Iceland","blank1","blank2","gt49",100,100,,100,,,,323764
"Iceland","blank1","blank2","higher",,,,,,,,323764
"Iceland","blank1","blank2","male",100,100,,100,,,,323764
"Iceland","blank1","blank2","no.birth.reg",,,,,,,,323764
"Iceland","blank1","blank2","no.educ",,,,,,,,323764
"Iceland","blank1","blank2","no.skilled.attendant",,,,,,,,323764
"Iceland","blank1","blank2","non.p20",100,100,100,100,100,100,100,323764
"Iceland","blank1","blank2","p20",100,100,0,100,0,0,0,323764
"Iceland","blank1","blank2","primary",,,,,,,,323764
"Iceland","blank1","blank2","rural",100,100,,100,,,,323764
"Iceland","blank1","blank2","secondary",,,,,,,,323764
"Iceland","blank1","blank2","stunted",,,,,,,,323764
"Iceland","blank1","blank2","under5",100,100,,100,,,,323764
"Iceland","blank1","blank2","urban",100,100,,100,,,,323764
"Iceland","blank1","ext","female",100,0,,0,,,,323764
"Iceland","blank1","ext","fifteento49",100,0,,0,,,,323764
"Iceland","blank1","ext","fiveto14",100,0,,0,,,,323764
"Iceland","blank1","ext","gt49",100,0,,0,,,,323764
"Iceland","blank1","ext","higher",,,,,,,,323764
"Iceland","blank1","ext","male",100,0,,0,,,,323764
"Iceland","blank1","ext","no.birth.reg",,,,,,,,323764
"Iceland","blank1","ext","no.educ",,,,,,,,323764
"Iceland","blank1","ext","no.skilled.attendant",,,,,,,,323764
"Iceland","blank1","ext","non.p20",100,0,100,0,0,100,0,323764
"Iceland","blank1","ext","p20",100,0,0,0,0,0,0,323764
"Iceland","blank1","ext","primary",,,,,,,,323764
"Iceland","blank1","ext","rural",100,0,,0,,,,323764
"Iceland","blank1","ext","secondary",,,,,,,,323764
"Iceland","blank1","ext","stunted",,,,,,,,323764
"Iceland","blank1","ext","under5",100,0,,0,,,,323764
"Iceland","blank1","ext","urban",100,0,,0,,,,323764
"Iceland","blank1","female","fifteento49",100,,,,,,,323764
"Iceland","blank1","female","fiveto14",100,,,,,,,323764
"Iceland","blank1","female","gt49",100,,,,,,,323764
"Iceland","blank1","female","higher",,,,,,,,323764
"Iceland","blank1","female","male",100,,,,,,,323764
"Iceland","blank1","female","no.birth.reg",,,,,,,,323764
"Iceland","blank1","female","no.educ",,,,,,,,323764
"Iceland","blank1","female","no.skilled.attendant",,,,,,,,323764
"Iceland","blank1","female","non.p20",100,,100,,,100,,323764
"Iceland","blank1","female","p20",100,,0,,,0,,323764
"Iceland","blank1","female","primary",,,,,,,,323764
"Iceland","blank1","female","rural",100,,,,,,,323764
"Iceland","blank1","female","secondary",,,,,,,,323764
"Iceland","blank1","female","stunted",,,,,,,,323764
"Iceland","blank1","female","under5",100,,,,,,,323764
"Iceland","blank1","female","urban",100,,,,,,,323764
"Iceland","blank1","fifteento49","fiveto14",100,,,,,,,323764
"Iceland","blank1","fifteento49","gt49",100,,,,,,,323764
"Iceland","blank1","fifteento49","higher",,,,,,,,323764
"Iceland","blank1","fifteento49","male",100,,,,,,,323764
"Iceland","blank1","fifteento49","no.birth.reg",,,,,,,,323764
"Iceland","blank1","fifteento49","no.educ",,,,,,,,323764
"Iceland","blank1","fifteento49","no.skilled.attendant",,,,,,,,323764
"Iceland","blank1","fifteento49","non.p20",100,,100,,,100,,323764
"Iceland","blank1","fifteento49","p20",100,,0,,,0,,323764
"Iceland","blank1","fifteento49","primary",,,,,,,,323764
"Iceland","blank1","fifteento49","rural",100,,,,,,,323764
"Iceland","blank1","fifteento49","secondary",,,,,,,,323764
"Iceland","blank1","fifteento49","stunted",,,,,,,,323764
"Iceland","blank1","fifteento49","under5",100,,,,,,,323764
"Iceland","blank1","fifteento49","urban",100,,,,,,,323764
"Iceland","blank1","fiveto14","gt49",100,,,,,,,323764
"Iceland","blank1","fiveto14","higher",,,,,,,,323764
"Iceland","blank1","fiveto14","male",100,,,,,,,323764
"Iceland","blank1","fiveto14","no.birth.reg",,,,,,,,323764
"Iceland","blank1","fiveto14","no.educ",,,,,,,,323764
"Iceland","blank1","fiveto14","no.skilled.attendant",,,,,,,,323764
"Iceland","blank1","fiveto14","non.p20",100,,100,,,100,,323764
"Iceland","blank1","fiveto14","p20",100,,0,,,0,,323764
"Iceland","blank1","fiveto14","primary",,,,,,,,323764
"Iceland","blank1","fiveto14","rural",100,,,,,,,323764
"Iceland","blank1","fiveto14","secondary",,,,,,,,323764
"Iceland","blank1","fiveto14","stunted",,,,,,,,323764
"Iceland","blank1","fiveto14","under5",100,,,,,,,323764
"Iceland","blank1","fiveto14","urban",100,,,,,,,323764
"Iceland","blank1","gt49","higher",,,,,,,,323764
"Iceland","blank1","gt49","male",100,,,,,,,323764
"Iceland","blank1","gt49","no.birth.reg",,,,,,,,323764
"Iceland","blank1","gt49","no.educ",,,,,,,,323764
"Iceland","blank1","gt49","no.skilled.attendant",,,,,,,,323764
"Iceland","blank1","gt49","non.p20",100,,100,,,100,,323764
"Iceland","blank1","gt49","p20",100,,0,,,0,,323764
"Iceland","blank1","gt49","primary",,,,,,,,323764
"Iceland","blank1","gt49","rural",100,,,,,,,323764
"Iceland","blank1","gt49","secondary",,,,,,,,323764
"Iceland","blank1","gt49","stunted",,,,,,,,323764
"Iceland","blank1","gt49","under5",100,,,,,,,323764
"Iceland","blank1","gt49","urban",100,,,,,,,323764
"Iceland","blank1","higher","male",,,,,,,,323764
"Iceland","blank1","higher","no.birth.reg",,,,,,,,323764
"Iceland","blank1","higher","no.educ",,,,,,,,323764
"Iceland","blank1","higher","no.skilled.attendant",,,,,,,,323764
"Iceland","blank1","higher","non.p20",,,,,,,,323764
"Iceland","blank1","higher","p20",,,,,,,,323764
"Iceland","blank1","higher","primary",,,,,,,,323764
"Iceland","blank1","higher","rural",,,,,,,,323764
"Iceland","blank1","higher","secondary",,,,,,,,323764
"Iceland","blank1","higher","stunted",,,,,,,,323764
"Iceland","blank1","higher","under5",,,,,,,,323764
"Iceland","blank1","higher","urban",,,,,,,,323764
"Iceland","blank1","male","no.birth.reg",,,,,,,,323764
"Iceland","blank1","male","no.educ",,,,,,,,323764
"Iceland","blank1","male","no.skilled.attendant",,,,,,,,323764
"Iceland","blank1","male","non.p20",100,,100,,,100,,323764
"Iceland","blank1","male","p20",100,,0,,,0,,323764
"Iceland","blank1","male","primary",,,,,,,,323764
"Iceland","blank1","male","rural",100,,,,,,,323764
"Iceland","blank1","male","secondary",,,,,,,,323764
"Iceland","blank1","male","stunted",,,,,,,,323764
"Iceland","blank1","male","under5",100,,,,,,,323764
"Iceland","blank1","male","urban",100,,,,,,,323764
"Iceland","blank1","no.birth.reg","no.educ",,,,,,,,323764
"Iceland","blank1","no.birth.reg","no.skilled.attendant",,,,,,,,323764
"Iceland","blank1","no.birth.reg","non.p20",,,,,,,,323764
"Iceland","blank1","no.birth.reg","p20",,,,,,,,323764
"Iceland","blank1","no.birth.reg","primary",,,,,,,,323764
"Iceland","blank1","no.birth.reg","rural",,,,,,,,323764
"Iceland","blank1","no.birth.reg","secondary",,,,,,,,323764
"Iceland","blank1","no.birth.reg","stunted",,,,,,,,323764
"Iceland","blank1","no.birth.reg","under5",,,,,,,,323764
"Iceland","blank1","no.birth.reg","urban",,,,,,,,323764
"Iceland","blank1","no.educ","no.skilled.attendant",,,,,,,,323764
"Iceland","blank1","no.educ","non.p20",,,,,,,,323764
"Iceland","blank1","no.educ","p20",,,,,,,,323764
"Iceland","blank1","no.educ","primary",,,,,,,,323764
"Iceland","blank1","no.educ","rural",,,,,,,,323764
"Iceland","blank1","no.educ","secondary",,,,,,,,323764
"Iceland","blank1","no.educ","stunted",,,,,,,,323764
"Iceland","blank1","no.educ","under5",,,,,,,,323764
"Iceland","blank1","no.educ","urban",,,,,,,,323764
"Iceland","blank1","no.skilled.attendant","non.p20",,,,,,,,323764
"Iceland","blank1","no.skilled.attendant","p20",,,,,,,,323764
